1.316482064847225217e+02,8.334270166679610270e+01,4.517764253585524159e+01,1.858643414416986417e+01,4.022377000873728292e+00,1.660423549566145240e+00,1.157364598702852554e+01,3.379187364482645961e+01,6.832475646628834909e+01,1.151718410130921058e+02
1.101455347353133192e+02,6.641040998533270567e+01,3.296661154777765290e+01,1.115116153820408940e+01,1.386943336094839108e+00,3.836433969476712669e+00,1.856675708334348585e+01,4.560461623839019296e+01,8.495790244280976822e+01,1.366251165913384114e+02
9.057866545504016642e+01,5.141392077300527319e+01,2.269138302883600389e+01,5.651691401374196566e+00,6.873121404517807953e-01,7.948246858523051905e+00,2.749567064879415668e+01,5.935316130108957822e+01,1.035268508884667682e+02,1.600141946387201983e+02
7.294759864390276505e+01,3.835323402981363472e+01,1.435195697903013823e+01,2.088023733680091532e+00,1.923483413944510945e+00,1.399586221670518071e+01,3.836038668338063218e+01,7.503750883292477170e+01,1.240316018032596332e+02,1.853390751552378219e+02
5.725233430190102268e+01,2.722834975575767658e+01,7.948333398360005297e+00,4.601585351217688524e-01,5.095457156573078628e+00,2.197928004402320568e+01,5.116090518710302604e+01,9.265765883389595103e+01,1.464721551871884913e+02,2.125997581408914812e+02
4.349287242903525197e+01,1.803926795083764034e+01,3.480512286825740542e+00,7.680958056992649441e-01,1.020323336833740235e+01,3.189850034047693583e+01,6.589722615996110733e+01,1.122136113040026828e+02,1.708485110402528449e+02,2.417962435956806928e+02
3.166921302530527171e+01,1.078598861505338924e+01,9.484936444272664691e-01,3.011835545412548054e+00,1.724681204923752631e+01,4.375352310606646000e+01,8.256934960195494000e+01,1.337053662432452938e+02,1.971606693624530919e+02,2.729285315196056558e+02
2.178135609071097178e+01,5.468511748404878858e+00,3.522774711645852430e-01,7.191377754261681687e+00,2.622619319927354553e+01,5.754434834079194161e+01,1.011772755130847941e+02,1.571329236516238552e+02,2.254086301537894315e+02,3.059966219126667966e+02
1.382930162525259021e+01,2.086837350892231324e+00,1.691863767037710575e+00,1.330672243224656626e+01,3.714137681844525929e+01,7.327097604465305380e+01,1.217210038933502716e+02,1.824962835291380543e+02,2.555923934142612381e+02,3.410005147748632908e+02
7.813049628929991108e+00,6.409654225153702534e-01,4.967252532046623870e+00,2.135786957936724306e+01,4.999236290675278127e+01,9.093340621765000265e+01,1.442005347427515574e+02,2.097954458757880332e+02,2.877119591438688531e+02,3.779402101061959343e+02
