1.569561155383646849e+02,1.390845262577187214e+02,1.222220212489892077e+02,1.063991317684785542e+02,9.163793758841173087e+01,7.795472309956228685e+01,6.536169655861164074e+01,5.386813620763827970e+01,4.348117410453688336e+01,3.420634430256508551e+01,2.604797384429927831e+01,1.900946653930045116e+01,1.309351213368320010e+01,8.302242620802308792e+00,4.637350488094142520e+00,2.100179145757693266e+00,6.917927487531412289e-01,4.130305639527202533e-01,1.264549613443518794e+00,3.246858330181446650e+00,6.360343256094460607e+00,1.060529030516503290e+01,1.598190174485215209e+01,2.249030977775826656e+01,3.013058740379082323e+01
1.493924847930121871e+02,1.319704804069443753e+02,1.155595784576284188e+02,1.001898345455490045e+02,8.588298393559072963e+01,7.265505572483473884e+01,6.051806526171333900e+01,4.948114255333273093e+01,3.955130407927039471e+01,3.073399262194137194e+01,2.303346233618490757e+01,1.645305824373460624e+01,1.099542225378904980e+01,6.662647123337159805e+00,3.456392925570444863e+00,1.377976116039375754e+00,4.284382988226350664e-01,6.085997669207047212e-01,1.919101491917692304e+00,4.360438258247958387e+00,7.932984941965630199e+00,1.263701743397881572e+01,1.847272934406905520e+01,2.544024535461209169e+01,3.353963189425905966e+01
1.420198262698816905e+02,1.250474067783919736e+02,1.090881078884895601e+02,9.417150954484151271e+01,8.031900250499178640e+01,6.754636057232926305e+01,5.586540618703712369e+01,4.528512112124930411e+01,3.581240627622601380e+01,2.745261316353979808e+01,2.020992305029269431e+01,1.408762217039091169e+01,9.088304596117065870e+00,5.214023848094205604e+00,2.466407585268949099e+00,8.467453085432703475e-01,3.560560711143452850e-01,9.951411921109135639e-01,2.764625592614088578e+00,5.664990408536692001e+00,9.696598850059015007e+00,1.485971678501481641e+01,2.115452916550814066e+01,2.858115315368808140e+01,3.713964860694955661e+01
1.348381399689736497e+02,1.183153053720620989e+02,1.028076095415731288e+02,8.834415676635642001e+01,7.494599329661528486e+01,6.262863764204616501e+01,5.140371933458330034e+01,4.128007191138819820e+01,3.226448069540396801e+01,2.436220592736050250e+01,1.757735598662274867e+01,1.191315831926948654e+01,7.372159160667357547e+00,3.956372795073507920e+00,1.667394467189699414e+00,5.064867232693978094e-01,4.746460656282829871e-01,1.572654839523347503e+00,3.801121915532714723e+00,7.160514781047659483e+00,1.165118498037463368e+01,1.727338835827305630e+01,2.402730120916950085e+01,3.191303317498634584e+01,4.093063754186228920e+01
1.278474258902878091e+02,1.117741761879544669e+02,9.671808341687892607e+01,8.270777621009354164e+01,6.976395631046091239e+01,5.790188693398528841e+01,4.713300470435169132e+01,3.746599492374932794e+01,2.890752733680414721e+01,2.146277091340344967e+01,1.513576114517505466e+01,9.929666690370286375e+00,5.846985947439869769e+00,2.889693964275021898e+00,1.059353571332665833e+00,3.572003602177437620e-01,7.842082823644397349e-01,2.341140709157992106e+00,5.028590460673552087e+00,8.847011375780835962e+00,1.379674333291247379e+01,1.987803215375351584e+01,2.709104547505305760e+01,3.543588541850684237e+01,4.491259869899722190e+01
1.210476840338239697e+02,1.054240192260687223e+02,9.081952951440676713e+01,7.726236787605274969e+01,6.477289154652865477e+01,5.336610844814646981e+01,4.305326229634216872e+01,3.384289015833257253e+01,2.574154620042644126e+01,1.875430812166855077e+01,1.288513852594950571e+01,8.137147283693275668e+00,4.512784956434563455e+00,2.013987355698746651e+00,6.422848976978450253e-01,3.988862193883112028e-01,1.284742721322820858e+00,3.300598801014873462e+00,6.447031228036617989e+00,1.072448019273623743e+01,1.613327390767252112e+01,2.267364817145617550e+01,3.034576196315880381e+01,3.914970988424950349e+01,4.908553207835432630e+01
1.144389143995825719e+02,9.926483448640541951e+01,8.511194783415702148e+01,7.200793176423427155e+01,5.997279900481879622e+01,4.902130218453005028e+01,3.916449211055499546e+01,3.041075761513814157e+01,2.276653728627104911e+01,1.623681755215592659e+01,1.082548812894623325e+01,6.535600099238515703e+00,3.369556187651513657e+00,1.329252969344708157e+00,4.161884462852577515e-01,6.315443007811021303e-01,1.976249382503425078e+00,4.451029115093974475e+00,8.056444217621910653e+00,1.279292123191387276e+01,1.866077670465480409e+01,2.566023641138107791e+01,3.379145067348683540e+01,4.305450657221444288e+01,5.344943767993376582e+01
1.080211169875634027e+02,9.329662196896440207e+01,7.959533837612949014e+01,6.694446787463807880e+01,5.536367868533114489e+01,4.486746814313581666e+01,3.546669414699000811e+01,2.716959729416593206e+01,1.998250059433786419e+01,1.391029920486551852e+01,8.956809954165182219e+00,5.125025137005982501e+00,2.417299641090687512e+00,8.354908052128873219e-01,3.810642170948861374e-01,1.055174604396112326e+00,2.858728265906245181e+00,5.792431651395280490e+00,9.856829429429410538e+00,1.505233449331370998e+01,2.137925172385931205e+01,2.883779687352818755e+01,3.742811160603706355e+01,4.715027548240161082e+01,5.800431550373534861e+01
1.017942917977662205e+02,8.751938167374540001e+01,7.426970114032405945e+01,6.207197620726392984e+01,5.094553058806555867e+01,4.090460632396368368e+01,3.195986840564718179e+01,2.411940919541584805e+01,1.738943612462685451e+01,1.177475307979730879e+01,7.279104001606321539e+00,3.905422396995645862e+00,1.656015316752059485e+00,5.327008633032848106e-01,5.369122101267402858e-01,1.669777130233351503e+00,3.932179371531297374e+00,7.324806409918831918e+00,1.184818686345914607e+01,1.750271997693578641e+01,2.428869896528602723e+01,3.220632955789752572e+01,4.125574476080947761e+01,5.143701661481091492e+01,6.275016554975913863e+01
9.575843883019149416e+01,8.193311360074879701e+01,6.913503612674091414e+01,5.739045676211216573e+01,4.671835471302232889e+01,3.713271672701390003e+01,2.864401488652667638e+01,2.126019331888807073e+01,1.498734387713812310e+01,9.830179176951345354e+00,5.792370271269708937e+00,2.876791879207548863e+00,1.085703214635671543e+00,4.208831436159085060e-01,8.837324253808168661e-01,2.475351878292807228e+00,5.196602699378567891e+00,9.048153390664600337e+00,1.403051651971110658e+01,2.014407768278008604e+01,2.738911842893497806e+01,3.576583446448909598e+01,4.527435013780413442e+01,5.591472996944252571e+01,6.768698781800522113e+01
