3.621606073900418998e+00,2.704581090539298405e+00,1.920999836562333307e+00,1.271765676873788831e+00,7.575146171755183788e-01,3.786986889940646694e-01,1.356406100209775201e-01,2.857055446315788505e-02,5.765143769081989417e-02,2.229966275747725102e-01,5.246825429470975966e-01,9.627577268398571642e-01,1.537249442796740473e+00,2.248168500876880138e+00,3.095512798640269736e+00
3.324708622178802919e+00,2.449263062666629409e+00,1.707325851538458616e+00,1.099783658699771793e+00,6.272603199909270177e-01,2.901988210192981699e-01,8.891504294059772440e-02,2.363391851106835806e-02,9.451429366410642186e-02,3.016663409845851129e-01,6.451639443183854183e-01,1.125053615769625370e+00,1.741360976052772180e+00,2.494095493201684555e+00,3.383253956984961786e+00
3.040975989585428696e+00,2.207109853922198273e+00,1.506816685642824671e+00,9.409664596539947246e-01,5.101708419345762913e-01,2.148637721727741645e-01,5.535429498845915314e-02,3.186210168721957670e-02,1.445419687656336050e-01,3.935008735226370180e-01,7.788101648179133196e-01,1.300514323827631769e+00,1.958637328437042413e+00,2.753187304654729051e+00,3.684159934457892582e+00
2.770408176120298105e+00,1.978121464306011656e+00,1.319472338875432582e+00,7.953140797364590675e-01,4.062461830064671431e-01,1.526935424544906272e-01,3.495836616456105689e-02,5.325510399161148545e-02,2.077344629954013533e-01,4.985002251889297242e-01,9.256212044456828547e-01,1.489139851013880467e+00,2.189078499949553613e+00,3.025443935236014514e+00,3.998230731059068344e+00
2.513005181783408926e+00,1.762297893818065564e+00,1.145292811236283237e+00,6.628265189471651553e-01,3.154863432065989071e-01,1.036881318644482797e-01,2.772725646890397341e-02,8.781292542424372349e-02,2.840917763534090978e-01,6.166643959834625655e-01,1.085597063201691137e+00,1.690930197328365914e+00,2.432684490590302673e+00,3.310865384945537393e+00,4.325466346788478411e+00
2.268767006574758938e+00,1.559639142458359551e+00,9.842781027253727499e-01,5.435037772861109895e-01,2.378913225349711946e-01,6.784754040264594221e-02,3.366096590148711515e-02,1.355355659851169292e-01,3.736139088396581709e-01,7.479933859062364299e-01,1.258737741085941275e+00,1.905885362771096769e+00,2.689455300359294476e+00,3.609451653783303460e+00,4.665866781646132111e+00
2.037693650494350806e+00,1.370145210226893617e+00,8.364282133427024535e-01,4.373458547532969587e-01,1.734611209915838670e-01,4.517176806908445447e-02,5.275949446231118639e-02,1.964230256742309777e-01,4.763008604541485447e-01,8.924871949572513730e-01,1.445043238098432381e+00,2.134005347342067260e+00,2.959390929256528580e+00,3.921202741749311382e+00,5.019432035632028111e+00
1.819785113542182531e+00,1.193816097123668873e+00,7.017431430882739019e-01,3.443527513487246727e-01,1.221957385764370491e-01,3.566081486376364296e-02,8.502284215137557999e-02,2.704753044915851334e-01,5.921526311968786649e-01,1.050145823136506840e+00,1.644513554239164455e+00,2.375290151041277387e+00,3.242491377282000986e+00,4.246118648843558496e+00,5.386162108746166410e+00
1.615041395718255446e+00,1.030651803148685319e+00,5.802228919620865399e-01,2.645244670723931879e-01,8.409517528953110166e-02,3.931468078668317462e-02,1.304510089686808649e-01,3.576924024371796462e-01,7.211692210678484205e-01,1.220969270444002719e+00,1.857148689508135719e+00,2.629739773868726260e+00,3.538756644435713916e+00,4.584199375066047466e+00,5.766057000988543457e+00
1.423462497022567774e+00,8.806523283019419557e-01,4.718674599641384249e-01,1.978610019243015050e-01,5.915943113086595539e-02,5.613336583784341027e-02,1.890439949142267428e-01,4.580743195110149046e-01,8.633506300670590328e-01,1.404957536879737123e+00,2.082948643905345953e+00,2.897354215824416546e+00,3.848186730717667814e+00,4.935444920416771630e+00,6.159116712359150370e+00
1.245048417455120848e+00,7.438176725834381164e-01,3.766768470944306668e-01,1.443623559044500126e-01,4.738850610044093720e-02,8.611687001724459278e-02,2.608017999880133386e-01,5.716210557130922965e-01,1.018696858194513055e+00,1.602110622443716714e+00,2.321913417430802262e+00,3.178133476908353128e+00,4.170781636127866676e+00,5.299855284895746976e+00,6.565341242858019122e+00
1.079799157015916444e+00,6.201478359931760220e-01,2.946510533529647646e-01,1.040285290128400292e-01,4.878240019825683810e-02,1.292651933248860352e-01,3.457244241900401804e-01,6.983326110434086020e-01,1.187207905450204493e+00,1.812428527135933720e+00,2.574043010084494210e+00,3.472077557120522240e+00,4.506541360666299845e+00,5.677430468502953964e+00,6.984730592485108858e+00
9.277147157049472348e-01,5.096428185311527859e-01,2.257900787397372211e-01,7.685952124947005581e-02,6.334111342431360259e-02,1.855783357607695694e-01,4.438118675203096553e-01,8.382089855019690949e-01,1.368883771834140228e+00,2.035911250956395691e+00,2.839337421866432454e+00,3.779186456460941201e+00,4.855465904332982419e+00,6.068170471238409469e+00,7.417284761240458657e+00
7.887950935222255433e-01,4.123026201973719052e-01,1.700939232547530600e-01,6.285533261434114727e-02,9.106464577861068943e-02,2.550562973248912679e-01,5.550641299788167116e-01,9.912501790887644493e-01,1.563724457346313601e+00,2.272558793905091523e+00,3.117796652776605448e+00,4.099460174929589584e+00,5.217555267127893082e+00,6.472075293102095728e+00,7.863003749124026776e+00
6.630402904677396014e-01,3.281272409918315480e-01,1.275625868980078403e-01,6.201596310745293578e-02,1.319529972611486468e-01,3.376990780172559603e-01,6.794812115655666229e-01,1.157456191803804879e+00,1.771729961986728386e+00,2.522371155982034541e+00,3.409420702815021631e+00,4.432898712526488261e+00,5.592809449051055815e+00,6.889144934094029615e+00,8.321887556135854069e+00
